NOUN, ADJ, 
grapics, long, This Is Also So Cool But It Freezing To Much But I Doesnt Matter Cuz Its Not Takes To long and Better grapics in phone i never seen that on my life...
events, new, I would very much like to see new events and skins etc etc... A good timepass game
game, good, I would very much like to see new events and skins etc etc... A good timepass game
game, other, Facing lot of reconnection issue. ( i don't have internet connectivity issue, can stream and run perfectly with other game) plz fix
game, super, 👌👌👌👌👌👏👏👏👏👏👌👏👌👏😀😃😃😃😃😃😱 super game
walo, nice, Very nice Play store walo
game, good, good game
game, Best, Best game
game, best, best game ever no ads 10/10
game, good, this is very good game and soo action BUT PLS ubdate THIS game
game, super, super game
game, best, best game ever for free limited time
time, free, best game ever for free limited time
time, limited, best game ever for free limited time
•ᴗ•, ◍, (◍•ᴗ•◍)❤(◍•ᴗ•◍)❤(◍•ᴗ•◍)❤
game, Wonderful, Wonderful 😊 game 🎯
game, 😊, Wonderful 😊 game 🎯
game, 🎯, Wonderful 😊 game 🎯
gold, great, great but low gold
game, Nice, Nice game
game, disgusting, What a disgusting game
game, free, thanks for the game free of cost _===========
app, best, The best app ever
game, nice, nice game
😘, 😘, 😘😘😘
😘, 😘, 😘😘😘
game, Good, Good game
flow, Epic, Epic gameplay nice flow of story overall a game worth buying
flow, nice, Epic gameplay nice flow of story overall a game worth buying
graphics, Awesome, Awesome graphics
game, Nice, Nice game
GAME, GOOD, VERY GOOD GAME
game, amazing, amazing game
game, nice, It's a nice game
THANK, FREE, THANKS FOR THIS OFFER THIS IS PAID BUT I INSTALLED FREE THANK YOU SO MUCH ❤❤❤❤❤
MUCH, SO, THANKS FOR THIS OFFER THIS IS PAID BUT I INSTALLED FREE THANK YOU SO MUCH ❤❤❤❤❤
😁, Best, The Best 😁😁
game, best, best game
graphics, stunning, stunning graphics! gameplay is very nice. Lots of options....... keep rocking.....Crazy Game
game, super, Yea super game ever played in my life
game, good, good game
graphics, Good, Good graphics and super game
game, super, Good graphics and super game
game, best, This game was in sale so i downloaded it🤣🤣🤣 Shadow fight always a best game
game, smooth, I like this game very much because this is very smooth game and so cool i like his graphics also :)
day, good, @Fansipanlimited I can understand u guys are making game good day by day but if u give even 1 more hero free it will easy please try to understand that second hero ashley that blue coloured is very hard to control not every player can handle her because she is so unbalanced if u just give even lucius it will better after getting it free I will rate your game 5 star because i really like it my favourite game is FREE FIRE but I'm playing your game .ore than it Thanks more making such a game
ashley, second, @Fansipanlimited I can understand u guys are making game good day by day but if u give even 1 more hero free it will easy please try to understand that second hero ashley that blue coloured is very hard to control not every player can handle her because she is so unbalanced if u just give even lucius it will better after getting it free I will rate your game 5 star because i really like it my favourite game is FREE FIRE but I'm playing your game .ore than it Thanks more making such a game
game, favourite, @Fansipanlimited I can understand u guys are making game good day by day but if u give even 1 more hero free it will easy please try to understand that second hero ashley that blue coloured is very hard to control not every player can handle her because she is so unbalanced if u just give even lucius it will better after getting it free I will rate your game 5 star because i really like it my favourite game is FREE FIRE but I'm playing your game .ore than it Thanks more making such a game
comments, positive, I haven't played it yet but hearing the positive and negative comments is saying it all that this game is just the best 😏
😏, best, I haven't played it yet but hearing the positive and negative comments is saying it all that this game is just the best 😏
game, best, this is the best game I've ever play I got through the 1st stage in 1 day I give it a 5/3
stage, 1st, this is the best game I've ever play I got through the 1st stage in 1 day I give it a 5/3
thing, single, I absolutely love this game but I just don't understand like every single thing is pay to win like everything requires real life money [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] so please make it so that I can buy at least most of them with gems and coins please please I am begging you I am getting sick of all of this like even the CHARACTERS require real life money I would've rated it 5 stars but please like I would be able to but in my country you can't use credit or debit cards. Please fix this🙏💓
money, real, I absolutely love this game but I just don't understand like every single thing is pay to win like everything requires real life money [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] so please make it so that I can buy at least most of them with gems and coins please please I am begging you I am getting sick of all of this like even the CHARACTERS require real life money I would've rated it 5 stars but please like I would be able to but in my country you can't use credit or debit cards. Please fix this🙏💓
money, real, I absolutely love this game but I just don't understand like every single thing is pay to win like everything requires real life money [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] so please make it so that I can buy at least most of them with gems and coins please please I am begging you I am getting sick of all of this like even the CHARACTERS require real life money I would've rated it 5 stars but please like I would be able to but in my country you can't use credit or debit cards. Please fix this🙏💓
money, real, After all the game is great, but it's very unfair how pay to win it is, most skins weapons and upgrades cost real money, which a lot of people lack, it would be great if there was more of a variety, one more problem is the connection, the screen goes off for 3 seconds and it's already restarting the whole game. why does a mostly offline game need internet access, only times ads show up is when they are accessed by the user themselves for certain prizes, it would be great if it was offline too .
game, whole, After all the game is great, but it's very unfair how pay to win it is, most skins weapons and upgrades cost real money, which a lot of people lack, it would be great if there was more of a variety, one more problem is the connection, the screen goes off for 3 seconds and it's already restarting the whole game. why does a mostly offline game need internet access, only times ads show up is when they are accessed by the user themselves for certain prizes, it would be great if it was offline too .
game, offline, After all the game is great, but it's very unfair how pay to win it is, most skins weapons and upgrades cost real money, which a lot of people lack, it would be great if there was more of a variety, one more problem is the connection, the screen goes off for 3 seconds and it's already restarting the whole game. why does a mostly offline game need internet access, only times ads show up is when they are accessed by the user themselves for certain prizes, it would be great if it was offline too .
prizes, certain, After all the game is great, but it's very unfair how pay to win it is, most skins weapons and upgrades cost real money, which a lot of people lack, it would be great if there was more of a variety, one more problem is the connection, the screen goes off for 3 seconds and it's already restarting the whole game. why does a mostly offline game need internet access, only times ads show up is when they are accessed by the user themselves for certain prizes, it would be great if it was offline too .
game, Good, Good game
', Nice, Nice '3
game, exciting, it's exciting game
game, good, 5 stars for such a good game 😊
game, Best, Best game ever
games, few, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
animation, smooth, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
character, great, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
character, looking, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
battle, fun, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
complain, only, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
effect, sound, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
game, great, This is actually really good, I've been playing a few games that is similar to this but this is the best one so far. smooth yet good animation, really great looking character and fun boss battle. my only complain is the sound effect, even tho it's already good enough, it just doesn't really hit but still. great game!
heroes, more, I like this game but theres a problem you have to pay in order to get more heroes and wasting ppl's money...Im sorry is it a bit to much to spend on this game? i was shock that all locked heroes were not free im sorry if i gave u a bad rating, its beacause the heroes u have to give us is not free, i know its your choice, you can change it or not, I recommend to change it free, but if u dont agree with me, its okay, its your choice after all.
heroes, locked, I like this game but theres a problem you have to pay in order to get more heroes and wasting ppl's money...Im sorry is it a bit to much to spend on this game? i was shock that all locked heroes were not free im sorry if i gave u a bad rating, its beacause the heroes u have to give us is not free, i know its your choice, you can change it or not, I recommend to change it free, but if u dont agree with me, its okay, its your choice after all.
rating, bad, I like this game but theres a problem you have to pay in order to get more heroes and wasting ppl's money...Im sorry is it a bit to much to spend on this game? i was shock that all locked heroes were not free im sorry if i gave u a bad rating, its beacause the heroes u have to give us is not free, i know its your choice, you can change it or not, I recommend to change it free, but if u dont agree with me, its okay, its your choice after all.
download, cool, This is super cool download this game now!
