NOUN, ADJ, 
grade, 4th, It doesn't respond sometimes, but all in all the game is great. Lags here and there, but that was already expected. The features are good and are really fun, but i never finish my builds because im to distracted. Most of my builds are unfinished and i can't deny that i'd rather watch minecraft content than play the game itself, but i love this game, because i grew up with. I've been playing the game since i was in 4th grade and altgough i don't play as much it still holds value to me.
world, new, I personally love Minecraft but today when I created a new world it started to lag and lag even though I have internet still this game does not need internet to work then the game kicked me out I checked on the Google play store many times and I don't see a new update for this app. I really hope that this can get fixed I really do love Minecraft.
times, many, I personally love Minecraft but today when I created a new world it started to lag and lag even though I have internet still this game does not need internet to work then the game kicked me out I checked on the Google play store many times and I don't see a new update for this app. I really hope that this can get fixed I really do love Minecraft.
update, new, I personally love Minecraft but today when I created a new world it started to lag and lag even though I have internet still this game does not need internet to work then the game kicked me out I checked on the Google play store many times and I don't see a new update for this app. I really hope that this can get fixed I really do love Minecraft.
game, good, I think it's a really good game but in Servers it can get very laggy ,other than that its A great game
game, great, I think it's a really good game but in Servers it can get very laggy ,other than that its A great game
game, fun, Minecraft is a fun game, but it may get a bit boring if you play by yourself, but if you play with friends that problem is resolved. The game has some bugs, but what game doesn't.
game, great, A great game
game, favorite, The game is great, I love it its litteraly my favorite game, although, I have 2 small issues, so sometimes I go in minecraft and it signs out of my Microsoft account and I have to struggle signing back in, my other issue is when it does stay in my account the text for speech UI thing will turn on and I don't really like the UI I have to turn off the text for speech everytime I get on.
issues, small, The game is great, I love it its litteraly my favorite game, although, I have 2 small issues, so sometimes I go in minecraft and it signs out of my Microsoft account and I have to struggle signing back in, my other issue is when it does stay in my account the text for speech UI thing will turn on and I don't really like the UI I have to turn off the text for speech everytime I get on.
issue, other, The game is great, I love it its litteraly my favorite game, although, I have 2 small issues, so sometimes I go in minecraft and it signs out of my Microsoft account and I have to struggle signing back in, my other issue is when it does stay in my account the text for speech UI thing will turn on and I don't really like the UI I have to turn off the text for speech everytime I get on.
fun, so, I love minecraft. Its so fun and you can plsy offline with no wifi! I give this game a 10/10
additions, new, I love all the new additions, but I used to ba able to play this just as well with internet as without it. Now, if I have no wifi or cell service, nothing will load. It's become incredibly frustrating since I live in an area with almost no wifi or service options.
game, good, I like playing minecraft on a ps4 but this a good game
GOOOD, SOOOO, Plz 1.18 update now plz i begg uuu btw SOOOO GOOOD 5 STARRR!!!!!!🤩🤩🤩🤩
grade, 7th, I've used to play this game since 7th grade and there's no problem in terms of connecting in multiplayer with friends. But now that is kepts on updating, we can't be able to play with our friends sometimes because it keeps on saying "unable to connect to world" even though we have good internet condition.
condition, good, I've used to play this game since 7th grade and there's no problem in terms of connecting in multiplayer with friends. But now that is kepts on updating, we can't be able to play with our friends sometimes because it keeps on saying "unable to connect to world" even though we have good internet condition.
game, good, It is such a good game,you can build fight and do whatever but just two problems first one is you have to bye It for 4.99 and second problem you have to bye mine coins with money to play like realy good servers.
problem, second, It is such a good game,you can build fight and do whatever but just two problems first one is you have to bye It for 4.99 and second problem you have to bye mine coins with money to play like realy good servers.
servers, good, It is such a good game,you can build fight and do whatever but just two problems first one is you have to bye It for 4.99 and second problem you have to bye mine coins with money to play like realy good servers.
game, Best, Best game ever
time, same, The game is really fun but i see on youtube that people on java get the updates first and i just think that that is not fair so i think you should do the updates at the same time or at least in the same day
day, same, The game is really fun but i see on youtube that people on java get the updates first and i just think that that is not fair so i think you should do the updates at the same time or at least in the same day
card, free, It's fun that's all I have to say, K got minecraft on the ps4 and I had no idea there was a free token gift card until the day before it expired 😶
card, token, It's fun that's all I have to say, K got minecraft on the ps4 and I had no idea there was a free token gift card until the day before it expired 😶
game, great, Minecraft is a great game but the recent updates have released a large variety of bugs that frankly make the game a bit less unenjoyable. Minecarts disappear, villagers gone, tridents that have been thrown despawn or fall into the void. Please fix these problems to make the game more enjoyable so we don't need to fly around our world's checking on all our farms, thank you.
updates, recent, Minecraft is a great game but the recent updates have released a large variety of bugs that frankly make the game a bit less unenjoyable. Minecarts disappear, villagers gone, tridents that have been thrown despawn or fall into the void. Please fix these problems to make the game more enjoyable so we don't need to fly around our world's checking on all our farms, thank you.
variety, large, Minecraft is a great game but the recent updates have released a large variety of bugs that frankly make the game a bit less unenjoyable. Minecarts disappear, villagers gone, tridents that have been thrown despawn or fall into the void. Please fix these problems to make the game more enjoyable so we don't need to fly around our world's checking on all our farms, thank you.
game, Good, Good game
stuff, other, I've been playing minecraft since I was 4 or 5 theres alot of secrets! And other stuff like fossils and other stuff! This game is a legend!
stuff, other, I've been playing minecraft since I was 4 or 5 theres alot of secrets! And other stuff like fossils and other stuff! This game is a legend!
game, great, great game, my kids loves it
pack, mod, I got a mod pack of skins and it works thank you so much but of you can ad more food it will be cool and fix the emotes pls because its lock and some are money
food, more, I got a mod pack of skins and it works thank you so much but of you can ad more food it will be cool and fix the emotes pls because its lock and some are money
wifi, perfect, It shows unable to connect to world even tho I have perfect wifi and both in same version and neither of us is in beta And I'm also able to join other servers but just unble to join any survival smps or my friends' games
version, same, It shows unable to connect to world even tho I have perfect wifi and both in same version and neither of us is in beta And I'm also able to join other servers but just unble to join any survival smps or my friends' games
servers, other, It shows unable to connect to world even tho I have perfect wifi and both in same version and neither of us is in beta And I'm also able to join other servers but just unble to join any survival smps or my friends' games
roar, mysterious, C418, what is the mysterious roar at the end of disc 11?
game, Amazing, Amazing game that you should install
game, fun, Its a fun game but multiplayer sometimes glitches and doesnt work
game, Great, Great game but A. Bedrock and B. Pojav Launcher is a thing
version, newest, So- I can't even access the marketplace because I'm "out of date" but I'm legit in the newest version like what- but I can still play my worlds and stuff, but I want to buy other stuff off the marketplace.
stuff, other, So- I can't even access the marketplace because I'm "out of date" but I'm legit in the newest version like what- but I can still play my worlds and stuff, but I want to buy other stuff off the marketplace.
game, Epic, Epic game loves it
game, good, Hi this is a very good and entertaining game I love this so badly u can play on servers also it's easy to change the modes to survival and creative but sometimes it lags and pushes u put of game but only sometimes anyways it is brilliant game
game, brilliant, Hi this is a very good and entertaining game I love this so badly u can play on servers also it's easy to change the modes to survival and creative but sometimes it lags and pushes u put of game but only sometimes anyways it is brilliant game
game, Good, Good game
times, creeper, Killed by a creeper 1000 times
menu, other, Sorry for the bad reavaew I am injoing the game it wold be nice if the fox did something the question button is in the way because I'm always accidentally hitting it what I'm trying to get out of my crafting and inventory menu other than that it is a really good game I suggest downloading it it is also great for playing with your friends especially during this quarantine
game, good, Sorry for the bad reavaew I am injoing the game it wold be nice if the fox did something the question button is in the way because I'm always accidentally hitting it what I'm trying to get out of my crafting and inventory menu other than that it is a really good game I suggest downloading it it is also great for playing with your friends especially during this quarantine
game, Excellent, Excellent game
game, best, The best game ever
eeveer, Best, Best game eeveer
game, super, super survival game ever i have played. you can play with friends can make pets like dog and cat can ride horses. dangerous mob spawn at night. trade with villagers. find all the monuments and structures. thats what the game is but there are many things that you can discover in this game. Thanks.
spawn, dangerous, super survival game ever i have played. you can play with friends can make pets like dog and cat can ride horses. dangerous mob spawn at night. trade with villagers. find all the monuments and structures. thats what the game is but there are many things that you can discover in this game. Thanks.
things, many, super survival game ever i have played. you can play with friends can make pets like dog and cat can ride horses. dangerous mob spawn at night. trade with villagers. find all the monuments and structures. thats what the game is but there are many things that you can discover in this game. Thanks.
problems, only, 1. I am unable to rename stuff using an anvil. 2. When I write in a book, close it, and reopen it, none of my writing saves. These are my only problems, and they are in my Realm. Just my Realm.
cause, boring, Love the game just pe is so boring cause no mods
problem, weird, I really like this game! But, there is one weird problem. So when I built my house, I left the game for 3 hours, when I came back to check on my house, part of the floor was smashed, the anvil was missing and the stairs were gone. The thing is that I have a brother who can join my world, but when I discovered it, I looked at the chat and no one had joined. This couldn't have been Herobrine because I know he got removed in like 1.16, and this is not the first time this happened to me. Please fix!
time, first, I really like this game! But, there is one weird problem. So when I built my house, I left the game for 3 hours, when I came back to check on my house, part of the floor was smashed, the anvil was missing and the stairs were gone. The thing is that I have a brother who can join my world, but when I discovered it, I looked at the chat and no one had joined. This couldn't have been Herobrine because I know he got removed in like 1.16, and this is not the first time this happened to me. Please fix!
nether, open, Can we have the roof of the nether open for bedrock
people, toxic, I have had minecraft for years and I have had no problems! There are toxic people on minecraft but thats just them. Overall great! I recommend!
game, kenal, Dulu aku kenal game ini dari temen wah seru juga nih game sampe sampe aku nyicil ingin beli nih game dan game ini juga bisa menambahkan bahasa ingris dan menambahkan infirasi
game, nih, Dulu aku kenal game ini dari temen wah seru juga nih game sampe sampe aku nyicil ingin beli nih game dan game ini juga bisa menambahkan bahasa ingris dan menambahkan infirasi
game, Good, Good game, not too many issues. However, I do not see the point in why Minecraft is more expensive on Android than it is on iOS. Since when did Microsoft team up with Apple?
issues, many, Good game, not too many issues. However, I do not see the point in why Minecraft is more expensive on Android than it is on iOS. Since when did Microsoft team up with Apple?
animal, fav, Ive played this game when i was a kid and it gets better and better i was wondering if yall can add ferrets as a pet its my fav animal
